Variable,REGION,EMISSION,TECHNOLOGY,STORAGE,TIMESLICE,FUEL,SEASON,DAYTYPE,DAILYTIMEBRACKET,MODE_OF_OPERATION,REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
AccumulatedNewCapacity,Uganda,,UGNGCCP00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017110223131684,0.0017110223131684,0.00171102231316816,0.152824608800159,0.152824608800159,0.152824608800159,0.152824608800159,0.152824608800159,0.152824608800159,0.152824608800159,0.152824608800159,0.152824608800159,0.152824608800159,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,
AccumulatedNewCapacity,Uganda,,UGNGGCP00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189745919286711,0.189745919286711,0.189745919286711,0.189745919286711,0.189745919286711,0.189745919286711,0.189745919286711,0.189745919286711,
AccumulatedNewCapacity,Uganda,,UGNULWP00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGSOC1P00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGSOC2P00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113639345040869,0.128215617242044,0.128215617242044,0.128215617242044,0.403023449866888,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
AccumulatedNewCapacity,Uganda,,UGSOPV,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AccumulatedNewCapacity,Uganda,,UGSOU1P03,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.384672053054352,0.384672053054352,0.384672053054352,0.384672053054352,0.384672053054352,0.384672053054352,0.384672053054352,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.115327946945648,0.115327946945648,0.115327946945648,0.115327946945648,0.115327946945648,
AccumulatedNewCapacity,Uganda,,UGSOV1F01,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.00585526220719178,0.00585526220719178,0.00585526220719178,0.00585526220719178,0.00585526220719178,0.00585526220719178,0.00585526220719178,0.00702982079366437,0.0301093452934564,0.0301093452934564,0.0301093452934564,0.0301093452934564,0.174173073852106,0.200795509579687,0.225965867101969,0.225965867101969,0.225965867101969,0.313171623044824,0.360416178943588,0.360416178943588,0.360416178943588,0.436091937853723,0.462143751078767,0.470796329765189,0.470796329765189,0.464941067557997,0.464941067557997,0.464941067557997,0.464941067557997,0.464941067557997,
AccumulatedNewCapacity,Uganda,,UGSOV4F01,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0249131083266743,0.0249131083266743,0.0249131083266743,0.0249131083266743,0.0249131083266743,0.0249131083266743,0.0249131083266743,0.0356328221258244,0.0433593269235159,0.0433593269235159,0.0433593269235159,0.0467875576236681,0.148364280761182,0.157095910802047,0.157095910802047,0.157095910802047,0.157095910802047,0.157095910802047,0.180507162557592,0.180507162557592,0.180507162557592,0.5,0.5,0.5,0.5,0.475086891673326,0.475086891673326,0.475086891673326,0.475086891673326,0.475086891673326,
AccumulatedNewCapacity,Uganda,,UGUR00I00,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
